family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,subject_index,y_true,y_pred,campaign
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,6,1,10.272727,8.859511,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,6,2,22.170732,21.440979,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,6,3,11.014925,10.226848,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,6,0,23.77,22.198654,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,6,1,10.272727,9.32028,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,6,2,22.170732,21.648329,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,6,3,11.014925,11.852087,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,7,0,22.506172,22.359596,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,7,1,18.200001,13.779593,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,7,2,17.319635,17.0452,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,7,3,20.962963,18.76766,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,7,0,22.506172,18.459412,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,7,1,18.200001,13.346674,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,7,2,17.319635,17.587934,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,7,3,20.962963,17.99898,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,8,0,25.25,26.570795,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,8,1,19.92,20.843679,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,8,2,22.776316,24.678003,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,8,3,13.230769,15.156738,baselines_paper
